"","Contract Number","Military
"38","N00024-11-C-6294","Navy","CP",0,308,308,20.3,"","N0002411C6294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","W56HZV-12-C-0344","Army","FFP/CP",165,139,304,99,"","W56HZV12C0344",7977832,1067014154.6441,0,0,2023-02-28 12:02:00,2012-07-30,2019-09-19,2012-07-30,0,2012,0,"2100","W56HZV","2835","336992","J","J",1,"UCA",1067014154.6441,305,"[~7 months-~1 year]",98945492,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",98945492,NA,1,98945492,2014-12-16,2013-05-30,2012-10-01
"40","W56HZV-16-C-0225","Army","FFP",50,252,302,74.3,"","W56HZV16C0225",66917351,74297310,0,0,2018-11-30 00:00:00,2016-09-29,2017-07-28,2016-09-29,NA,2016,1,"2100","W56HZV","2350","336992","J","J",1,"UCA",70065362.1274991,303,"[~7 months-~1 year]",74297310,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",70065362.1274991,NA,1,74297310,NA,2017-07-28,2016-11-02
"41","N00024-14-C-5340","Navy","FFP",0,302,302,141.1,"","N0002414C5340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","FA8726-18-C-0007","Air Force","CP",132,168,300,2.8,"","FA872618C0007",72127937,92367461.25,0,0,2020-08-26 00:00:00,2017-12-19,2019-09-30,2017-12-19,0,2018,0,NA,NA,NA,NA,NA,NA,1,"UCA",83742031.9582956,297.958333333333,"[~7 months-~1 year]",17201370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15595077.0625567,NA,1,17201370,2019-03-29,2018-10-12,2018-03-01
"43","W56HZV-12-C-0378","Army","FFP",0,300,300,28.5,"","W56HZV12C0378",7977854,28498723.14,0,0,2014-08-27 00:00:00,2012-08-14,2013-06-10,2012-08-14,NA,2012,1,"2100","W56HZV","4240","333411","J","J",1,"UCA",28498723.14,275,"[~7 months-~1 year]",28498723.14,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",28498723.14,NA,1,28498723.14,2013-05-15,2013-05-15,2012-09-06
"44","N00024-16-C-6230","Navy","CP",0,287,287,18.8,"","N0002416C6230",63008886,72059166,0,0,2019-04-22 00:00:00,2015-12-11,2019-04-12,2015-12-11,0,2016,1,"1700","N00024","R425","541330","V","V",1,"UCA",67954701.9992456,287.958333333333,"[~7 months-~1 year]",29623757,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",27936398.528857,NA,1,29623757,NA,2016-09-23,2016-07-18
"45","W58RGZ-17-C-0018","Army","CP",0,280,280,290.3,"","W58RGZ17C0018",70717980,918749097.7678,0,0,2020-10-16 12:10:00,2016-10-21,2019-09-30,2016-10-24,0,2017,0,"2100","W58RGZ","J015","336411","V","V",1,"UCA",851008797.487773,281,"[~7 months-~1 year]",166690544,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",154400281.585773,NA,1,166690544,2017-06-22,2017-07-28,2016-11-02
"46","W56HZV-12-C-0344","Army","FFP",94,179,273,335.4,"","W56HZV12C0344",7977832,1067014154.6441,0,0,2023-02-28 12:02:00,2012-07-30,2019-09-19,2012-07-30,0,2012,0,"2100","W56HZV","2835","336992","J","J",1,"UCA",1067014154.6441,305,"[~7 months-~1 year]",98945492,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",98945492,NA,1,98945492,2014-12-16,2013-05-30,2012-10-01
"47","N00024-05-C-5346","Navy","CP",52,217,269,12.5,"","N0002405C5346",2963497,5670343612.2703,0,0,2019-09-29 00:00:00,2005-05-25,2019-09-23,2005-05-25,0,2005,0,"1700","N00024","AJ43","541330",NA,"R",1,"UCA",6505671881.90718,308.041666666667,"[~7 months-~1 year]",5186431691,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",5950472339.37586,NA,1,5186431691,2006-03-28,2006-03-28,2009-12-04
"48","FA8611-08-C-2896","Air Force","CP",49,218,267,458.4,"","FA861108C2896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","W56HZV-17-C-0001","Army","FFP",132,133,265,136.1,"","W56HZV17C0001",70717190,875406380.25,0,1,2021-01-31 12:01:00,2017-03-31,2019-07-30,2017-03-31,0,2017,1,"2100","W56HZV","2350","336211","J","J",1,"UCA",810861782.373101,266.041666666667,"[~7 months-~1 year]",426897980,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",395422360.133383,NA,1,426897980,2017-09-19,2017-12-21,2017-11-30
"50","W58RGZ-15-C-0038","Army","FPIF",99,162,261,30.8,"","W58RGZ15C0038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","W58RGZ-17-C-0035","Army","CP",33,226,259,57.3,"","W58RGZ17C0035",70717990,205697611.125,0,0,2020-11-30 12:11:00,2016-12-15,2019-08-28,2016-12-15,0,2017,0,"2100","W58RGZ","1550","336411","U","U",1,"UCA",190531318.196554,259.958333333333,"[~7 months-~1 year]",57307277.125,"Defense","Army",1,0,0,1,NA,0,NA,"D",NA,1,0,0,NA,1,NA,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",53081953.6170804,NA,1,57307277.125,2017-09-10,2017-08-31,2017-06-07
"52","W58RGZ-17-C-0027","Army","FFP/CP",102,140,242,25.2,"","W58RGZ17C0027",70717986,58619672,0,0,2021-05-31 12:05:00,2016-12-23,2019-02-27,2017-01-01,0,2017,0,"2100","W58RGZ","1680","336413","J","J",1,"UCA",54297584.290478,251.958333333333,"[~7 months-~1 year]",9105140,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",8433808.81808077,NA,1,9105140,2018-03-01,2017-08-31,2017-04-20
"53","W56HZV-15-C-0119","Army","FFP/CP",0,250,250,30,"","W56HZV15C0119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","N00024-14-C-5106","Navy","FFP",0,247,247,34.7,"","N0002414C5106",27165900,489784662.5,0,0,2023-11-30 00:00:00,2014-07-23,2019-09-25,2014-07-23,0,2014,0,"1700","N00024","1210","334511","J","J",1,"UCA",471808749.157114,248,"[~7 months-~1 year]",30344957,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",29231246.5080435,NA,1,30344957,2016-09-27,2015-03-27,2015-03-27
"55","N00024-15-C-6275","Navy","FFP",0,245,245,20.1,"","N0002415C6275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","FA8611-08-C-2896","Air Force","CP",119,125,244,465.4,"","FA861108C2896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","W56HZV-17-C-0021","Army","FFP/CP",69,169,238,39.1,"","W56HZV17C0021",70717209,39125002,0,0,2020-02-28 00:00:00,2016-12-27,2017-08-17,2016-12-27,0,2017,0,"2100","W56HZV","2350","336992","J","J",1,"UCA",36240276.0281586,233.958333333333,"[~7 months-~1 year]",39125002,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",36240276.0281586,NA,1,39125002,NA,2017-08-17,2016-12-29
"58","W31P4Q-17-C-0068","Army","FFP/CP",90,147,237,61.6,"","W31P4Q17C0068",70714746,79410974.3301,0,0,2019-09-28 12:09:00,2017-01-31,2018-04-30,2017-01-31,0,2017,1,"2100","W31P4Q","1095","541330","S","S",1,"UCA",73555922.869674,237.958333333333,"[~7 months-~1 year]",79918218,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",74025766.9507225,NA,1,79918218,NA,2017-09-25,2017-03-03
"59","W56HZV-14-C-0054","Army","FFP/CP",46,188,234,61.6,"","W56HZV14C0054",27381038,92052069.1407,0,0,2017-01-31 00:00:00,2014-01-31,2016-11-09,2014-01-31,NA,2014,1,"2100","W56HZV","2350","336992","J","J",1,"UCA",88673604.7979,234.958333333333,"[~7 months-~1 year]",61604339,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",59343357.0946922,NA,1,61604339,NA,2014-09-22,2014-05-14
"60","FA8730-18-C-0017","Air Force","FFP/CP",79,154,233,10.9,"","FA873018C0017",72128077,23139076.1406,0,0,2022-08-31 00:00:00,2017-12-19,2019-07-22,2017-12-19,0,2018,0,NA,NA,NA,NA,NA,NA,1,"UCA",20978310.1909338,238.958333333333,"[~7 months-~1 year]",3140626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2847349.04805077,NA,1,3140626,NA,2018-08-14,2018-08-14
"61","W56HZV-13-C-0358","Army","FFP",30,201,231,140.6,"","W56HZV13C0358",25555245,141232788,0,0,2018-02-05 00:00:00,2013-08-21,2014-04-30,2013-08-21,NA,2013,1,"2100","W56HZV","2350","336992","J","J",1,"UCA",138681056.559309,232,"[~7 months-~1 year]",140595703,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",138055482.12883,NA,1,140595703,2014-04-30,2014-04-09,2014-04-30
"62","W31P4Q-17-C-0175","Army","CP",153,77,230,36.1,"","W31P4Q17C0175",71600054,39213957,0,0,2019-02-28 12:02:00,2017-09-28,2018-09-26,2017-09-28,0,2017,1,"2100","W31P4Q","1680","334511","S","S",1,"UCA",36322672.2860319,231,"[~7 months-~1 year]",36076967,"Defense","Army",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",33416975.7317525,NA,1,36076967,NA,2018-05-16,2017-10-12
"63","W56HZV-16-C-0038","Army","CP",69,160,229,60.5,"","W56HZV16C0038",63008749,343519005,0,0,2018-08-31 12:08:00,2016-01-15,2017-09-28,2016-01-15,0,2016,1,"2100","W56HZV","J010","336992",NA,"S",1,"UCA",323952286.872878,229.958333333333,"[~7 months-~1 year]",165578230,"Defense","Army",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",156146953.97963,NA,1,165578230,2017-08-31,2016-08-31,2016-02-16
"64","FA8730-18-C-0007","Air Force","FFP",94,133,227,35.8,"","FA873018C0007",72128072,35806685.4297,0,0,2018-11-23 00:00:00,2017-11-24,2018-11-20,2017-11-24,0,2018,1,NA,NA,NA,NA,"J","J",1,"UCA",32462996.7631006,224.958333333333,"[~7 months-~1 year]",19242724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17445805.9836809,NA,1,19242724,NA,2018-07-06,2018-02-08
"65","FA8611-08-C-2897","Air Force","CP",0,227,227,772.8,"","FA861108C2897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","N00024-12-C-6306","Navy","FFP/CP",73,153,226,45.6,"","N0002412C6306",2965312,48191286,0,0,2013-09-30 00:00:00,2012-02-17,2013-07-02,2012-02-17,NA,2012,1,"1700","N00024","5845","334511","U","U",1,"UCA",48191286,301,"[~7 months-~1 year]",46810432,"Defense","Navy",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",46810432,NA,1,46810432,NA,NA,2012-12-13
"67","N00019-11-G-0001 DO 0080","Navy","CP",83,142,225,13,"N0001911G0001","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","FA8620-11-G-4025 DO 1631","Air Force","FFP/CP",0,224,224,24.6,"FA862011G4025","1631",63009368,24606605,0,0,2016-12-13 00:00:00,2015-12-10,2016-07-21,2015-12-10,NA,2016,1,"5700","FA8620","J015","336413",NA,NA,1,"UCA",23205021.6899283,50,"[0 months,~2 months)",10350022,"Defense","Air Force",1,0,0,0,0,0,"SINGLE AWARD","C","D",1,0,0,NA,0,0,0,"IDV","SINGLE AWARD","C","D","BPA/BOA",9760488.49490758,NA,1,10350022,NA,NA,2016-01-28
"69","FA8730-17-C-0016","Air Force","FFP",140,82,222,15.6,"","FA873017C0016",69416709,16032830.0898,0,0,2018-01-19 00:00:00,2017-02-16,2017-10-27,2017-02-16,NA,2017,1,"5700","FA8730","5865","334511","J","J",1,"UCA",14850713.3103001,222.958333333333,"[~7 months-~1 year]",9874907,"Defense","Air Force",1,0,0,0,0,1,NA,"D",NA,1,0,0,NA,0,0,1,"fed_uca/Pur",NA,"D",NA,"Def/Pur",9146820.11856243,NA,1,9874907,NA,2017-09-26,2017-09-26
"70","W31P4Q-16-C-0028","Army","FFP",0,221,221,35,"","W31P4Q16C0028",66913858,114181049,0,0,2019-12-31 00:00:00,2015-12-21,2018-07-25,2016-01-01,0,2016,0,"2100","W31P4Q","5998","335999","J","J",1,"UCA",107677337.797058,221.958333333333,"[~7 months-~1 year]",35017089,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",33022528.2912109,NA,1,35017089,2017-05-25,2016-07-29,2016-02-03
"71","FA8807-08-C-0010","Air Force","FFP/CP",134,84,218,31.4,"","FA880708C0010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","FA8621-13-C-6323","Air Force","FFP",0,217,217,5.5,"","FA862113C6323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","W56HZV-14-C-0054","Army","FFP/CP",35,181,216,32.5,"","W56HZV14C0054",27381038,92052069.1407,0,0,2017-01-31 00:00:00,2014-01-31,2016-11-09,2014-01-31,NA,2014,1,"2100","W56HZV","2350","336992","J","J",1,"UCA",88673604.7979,234.958333333333,"[~7 months-~1 year]",61604339,"Defense","Army",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",59343357.0946922,NA,1,61604339,NA,2014-09-22,2014-05-14
"74","N00024-09-C-5111","Navy","FFP",0,216,216,93.9,"","N0002409C5111",2964531,335173963.2031,0,0,2017-09-30 00:00:00,2009-09-23,2018-09-07,2009-09-23,NA,2009,1,"1700","N00024","1260","335929",NA,NA,1,"UCA",351335391.198218,335,"[~7 months-~1 year]",216554234,"Defense","Navy",1,0,0,1,0,0,NA,"D",NA,1,0,0,NA,1,0,0,"fed_uca/Pur",NA,"D",NA,"Def/Pur",226996052.410901,NA,1,216554234,NA,2010-08-23,2010-08-27
