variable,SourceColumn,AllColumns,Consolidate,OriginType
.Base...OCO..Quantity,Comptroller,Quant_Actual,QuantActualTotal,Total
.Base...OCO..Amount,Comptroller,Actual,ActualTotal,Total
.Base...OCO..Amount...,Comptroller,Actual,ActualTotal,Total
Total.Actual.Amount,Comptroller,Actual,ActualTotal,Total
Base.Enacted.Quantity,Comptroller,Quant_Base_App,QuantEnactedType,Base
Base.Enacted.Amount,Comptroller,Base_App,EnactedType,Base
OCO.Enacted.Quantity,Comptroller,Quant_OCO_App,QuantEnactedType,OCO
OCO.Enacted.Amount,Comptroller,OCO_App,EnactedType,OCO
OCO.Enacted.Amount..,Comptroller,OCO_App,EnactedType,OCO
Enacted.Quantity,Comptroller,Quant_App,EnactedTotalQuantity,Total
Total.Enacted.Amount,Comptroller,App,EnactedTotal,Total
Total.Enacted.Amount..,Comptroller,App,EnactedTotal,Total
Total.Enacted..,Comptroller,App,EnactedTotal,Total
Base.Quantity,Comptroller,Quant_Base_PB,QuantPBtype,Base
Base.Amount,Comptroller,Base_PB,PBtype,Base
Base.Actual.Amount,Comptroller,Base_PB,PBtype,Base
OCO.Actual.Amount,Comptroller,OCO_PB,PBtype,OCO
OCO.Quantity,Comptroller,Quant_OCO_PB,QuantPBtype,OCO
OCO.Amount,Comptroller,OCO_PB,PBtype,OCO
Total.Quantity,Comptroller,Quant_PB,QuantPBtotal,Total
Total.PB.Amount,Comptroller,PB,PBtotal,Total
Total.Amount,Comptroller,PB,PBtotal,Total
.Base...OCO.,Comptroller,Actual,ActualTotal,Total
Base...OCO.Enacted,Comptroller,App,EnactedTotal,Total
Base.Enacted,Comptroller,Base_App,EnactedType,Base
OCO.Enacted,Comptroller,OCO_App,EnactedType,OCO
..OCO.Enacted,Comptroller,OCO_App,EnactedType,OCO
Base...OCO.Enacted.Amount,Comptroller,App,EnactedTotal,Total
Base...OCO.Enacted.Quantity,Comptroller,Quant_OCO_PB,QuantPBtype,OCO
Total.Enacted,Comptroller,App,EnactedTotal,Total
Base.PB.Amount,Comptroller,Base_PB,PBtype,Base
OCO.PB.Amount,Comptroller,OCO_PB,PBtype,OCO
Base..,Comptroller,Base_PB,PBtype,Base
Base,Comptroller,Base_PB,PBtype,Base
OCO,Comptroller,OCO_PB,PBtype,OCO
Total,Comptroller,PB,PBtotal,Total
Total..,Comptroller,PB,PBtotal,Total
Base.Request.with.CR.Adj.,Comptroller,Base_App,EnactedType,Base
OCO.Request.with.CR.Adj.,Comptroller,OCO_App,EnactedType,OCO
Total.Request.with.CR.Adj.,Comptroller,App,EnactedTotal,Total
Base.Request.with.CR.Adj..Quantity,Comptroller,Quant_Base_App,QuantEnactedtype,Base
Base.Request.with.CR.Adj..Amount,Comptroller,Base_App,EnactedType,Base
OCO.Request.with.CR.Adj..Quantity,Comptroller,Quant_OCO_App,QuantEnactedtype,OCO
OCO.Request.with.CR.Adj..Amount,Comptroller,OCO_App,EnactedType,OCO
Total.Request.with.CR.Adj..Quantity,Comptroller,App,QuantEnactedtotal,Total
Total.Request.with.CR.Adj..Amount,Comptroller,App,EnactedTotal,Total
Actuals ,Comptroller,PB,PBtotal,Total
Actuals.Quantity,Comptroller,Quant_PB,QuantPBtotal,Total 
Actuals.Amount ,Comptroller,PB,PBtotal,Total
Annualized.CR.Base..,Comptroller,Base_App,SpecialType,Base.Ann
Annualized.CR.Base...Quantity,Comptroller,Quant_Base_App,QuantSpecialType,Base.Ann
Annualized.CR.Base...Amount,Comptroller,Base_App,SpecialType,Base.Ann
Annualized.CR.OCO...Quantity,Comptroller,Quant_OCO_App,QuantSpecialType,OCO.Ann
Annualized.CR.OCO..,Comptroller,OCO_App,SpecialType,OCO.Ann
Annualized.CR.OCO...Amount,Comptroller,OCO_App,SpecialType,OCO.Ann
Annualized.CR.Total...Quantity,Comptroller,Quant_App,QuantSpecialTotal,Total.Ann
Annualized.CR.Total..,Comptroller,App,SpecialTotal,Total.Ann
Annualized.CR.Total...Amount,Comptroller,App,SpecialTotal,Total.Ann
Supplemental.Request.Amount,Comptroller,PB,PBtotal,Total
Supplemental.Request.Quantity,Comptroller,Quant_PB,QuantPBtotal,Total
Supplemental.Request,Comptroller,App,EnactedTotal,Total
Total.Request,Comptroller,PB,PBtotal,Total
Total.Request.Quantity,Comptroller,Quant_PB,QuantPBtotal,Total
Total.Request.Amount,Comptroller,PB,PBtotal,Total
Total,Comptroller,PB,PBtotal,Total
OCO.Amendment,Comptroller,OCO_PB,PBtype,OCO
OCO.Amendment.Quantity,Comptroller,Quant_OCO_PB,QuantPBtype,OCO
Total.Enacted.Quantity,Comptroller,App,EnactedTotal,Total
OCO.Amendment.Amount,Comptroller,OCO_PB,PBtype,OCO
EmergencyDisasterReliefActof2013,Comptroller,OCO_App,EnactedType,OCO
TOA.Total.Base.Request,Comptroller,OCO_PB,PBtotal,OCO
,,,,
CR.Quant,Harrison,Quant_CR,QuantSpecialType,Total
CR.OCO.Quant,Harrison,Quant_CR_OCO,QuantSpecialType,OCO
Quant,Harrison,Quant_Actual,QuantActualTotal,Total
,Harrison,Actual,ActualTotal,Total
PB,Harrison,PB,PBtotal,Total
App,Harrison,App,EnactedTotal,Total
CR,Harrison,CR,SpecialType,CR
CR.OCO,Harrison,CR_OCO,SpecialType,CR.OCO
OCO.PB,Harrison,OCO_PB,PBtype,OCO
OCO.App,Harrison,OCO_App,EnactedType,OCO
OCO.Sup,Harrison,OCO_Sup,SpecialType,OCO.Sup
Quant.PB,Harrison,Quant_PB,QuantPBtotal,Total
Quant.App,Harrison,Quant_App,QuantEnactedTotal,Total
Quant.OCO.PB,Harrison,Quant_OCO_PB,QuantPBtype,OCO
Quant.OCO.App,Harrison,Quant_OCO_App,QuantEnactedType,OCO
Quant.OCO.Sup,Harrison,Quant_OCO_Sup,QuantSpecialType,OCO.Sup
